Index,Dist. Route (m),Elev. Lidar (ft),Elev. Lidar (m)
650,6500,180.933476,55.14852349
651,6510,180.9210004,55.14472091
652,6520,189.4704861,57.75060417
653,6530,155.8230339,47.49486073
654,6540,172.196222,52.48540848
655,6550,191.2171741,58.28299467
656,6560,159.0449957,48.47691468
657,6570,159.8955831,48.73617372
658,6580,160.6288561,48.95967533
659,6590,161.5799385,49.24956524
660,6600,164.9895371,50.28881092
661,6610,163.3064097,49.77579367
662,6620,163.9834517,49.98215607
663,6630,164.5931294,50.16798585
664,6640,165.1625229,50.34153699
665,6650,165.7070876,50.5075203
666,6660,166.0853815,50.62282429
667,6670,166.499019,50.74890101
668,6680,194.060923,59.14976933
669,6690,167.6564222,51.10167749
670,6700,167.8009241,51.14572168
671,6710,169.9478293,51.80009837
672,6720,168.4966702,51.35778508
673,6730,168.9755405,51.50374473
674,6740,205.7052257,62.69895279
675,6750,173.2521058,52.80724185
676,6760,169.7744872,51.74726371
677,6770,170.0072172,51.81819981
678,6780,170.2318439,51.88666602
679,6790,170.6456947,52.01280773
680,6800,171.0987481,52.15089842
681,6810,176.3974563,53.76594469
682,6820,172.1659395,52.47617835
683,6830,172.2463113,52.5006757
684,6840,178.632211,54.44709793
685,6850,173.1647241,52.78060792
686,6860,173.6782041,52.93711661
687,6870,174.2776281,53.11982103
688,6880,174.9561346,53.32662982
689,6890,175.7901444,53.58083603
690,6900,176.7297908,53.86724025
691,6910,177.7896427,54.19028309
692,6920,183.9065343,56.05471165
693,6930,186.3252398,56.79193309
694,6940,181.373708,55.2827062
695,6950,224.6213714,68.46459399
696,6960,184.155366,56.13055555
697,6970,187.6292329,57.18939018
698,6980,187.0398404,57.00974335
699,6990,188.4786263,57.4482853
700,7000,189.9320141,57.89127789
701,7010,225.7677735,68.81401735
702,7020,228.8245599,69.74572586
703,7030,214.624097,65.41742476
704,7040,230.5798799,70.28074739
705,7050,236.6355052,72.126502
706,7060,226.0309713,68.89424005
707,7070,242.8854834,74.03149534
708,7080,212.9681959,64.91270611
709,7090,249.4385161,76.0288597
710,7100,237.7721815,72.47296091
711,7110,216.4552559,65.97556201
712,7120,244.5454849,74.53746379
713,7130,210.717275,64.22662541
714,7140,209.2486421,63.77898611
715,7150,210.6298122,64.19996676
716,7160,219.416206,66.87805959
717,7170,239.5447108,73.01322786
718,7180,234.1374866,71.36510592
719,7190,247.1361975,75.32711301
720,7200,213.6130995,65.10927273
721,7210,218.7235175,66.66692813
722,7220,215.5662257,65.70458558
723,7230,214.4356589,65.35998883
724,7240,214.6324984,65.41998551
725,7250,214.8096658,65.47398614
726,7260,214.9382338,65.51317366
727,7270,215.0666028,65.55230054
728,7280,215.8856316,65.80194052
729,7290,215.4313342,65.66347067
730,7300,215.6381439,65.72650626
731,7310,215.8318643,65.78555225
732,7320,215.9613259,65.82501214
733,7330,220.6760053,67.26204642
734,7340,216.2838763,65.92332549
735,7350,216.4375289,65.97015881
736,7360,216.6446062,66.03327598
737,7370,218.1592438,66.49493752
738,7380,225.6165478,68.76792378
739,7390,217.0861731,66.16786557
740,7400,217.2712934,66.22429022
741,7410,217.4637255,66.28294353
742,7420,246.5877705,75.15995245
743,7430,217.8074251,66.38770317
744,7440,217.9728712,66.43813113
745,7450,218.1682646,66.49768704
746,7460,218.3456887,66.55176591
747,7470,218.5309282,66.60822692
748,7480,250.5191331,76.35823178
749,7490,232.0869997,70.7401175
750,7500,218.9522688,66.73665152
751,7510,219.0831283,66.77653751
752,7520,227.6390453,69.384381
753,7530,219.2944803,66.84095759
754,7540,219.3012078,66.84300814
755,7550,219.2507888,66.82764042
756,7560,219.1908966,66.80938527
757,7570,219.0404197,66.76351992
758,7580,269.9768349,82.28893929
759,7590,251.2484282,76.58052092
760,7600,267.6920182,81.59252715
761,7610,216.8327418,66.0906197
762,7620,216.1428091,65.88032823
763,7630,215.332428,65.63332405
764,7640,214.4782837,65.37298087
765,7650,213.7688168,65.15673535
766,7660,212.7474676,64.84542812
767,7670,214.2336538,65.29841768
768,7680,218.8147288,66.69472932
769,7690,210.3991219,64.12965234
770,7700,209.532295,63.86544351
771,7710,212.4618465,64.75837082
772,7720,212.0600879,64.63591479
773,7730,207.1135513,63.12821045
774,7740,209.0155312,63.7079339
775,7750,207.0631476,63.11284739
776,7760,205.131478,62.52407449
777,7770,203.811324,62.12169156
778,7780,209.6925063,63.91427592
779,7790,202.1716766,61.62192704
780,7800,201.4280061,61.39525625
781,7810,200.5683625,61.13323689
782,7820,199.6756192,60.86112874
783,7830,198.8354107,60.60503318
784,7840,197.978153,60.34374104
785,7850,197.1927733,60.10435731
786,7860,196.3691961,59.85333098
787,7870,195.5651931,59.60827084
788,7880,194.7593861,59.36266089
789,7890,193.916127,59.10563551
790,7900,196.4657802,59.8827698
791,7910,192.3006869,58.61324937
792,7920,191.4820793,58.36373778
793,7930,190.6789152,58.11893336
794,7940,189.8306641,57.86038643
795,7950,188.9287366,57.58547891
796,7960,188.2223179,57.3701625
797,7970,187.3369137,57.10029128
798,7980,191.8343453,58.47110844
799,7990,185.6914503,56.59875404
800,8000,184.8519383,56.3428708
801,8010,187.7696345,57.23218461
802,8020,183.215136,55.84397345
803,8030,185.593069,56.56876742
804,8040,181.5154081,55.32589639
805,8050,180.7393876,55.08936535
806,8060,184.1966387,56.14313547
807,8070,179.0998375,54.58963047
808,8080,178.289595,54.34266855
809,8090,177.4521869,54.08742657
810,8100,181.2440981,55.24320109
